sent_id, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
0, -71.77162265777588, -3.1205053329467773, -20.928945177770697, -1, -1, -1, -1
1, -96.36985635757446, -3.1087050437927246, -22.98371413304063, -1, -1, -1, -1
2, -42.7834358215332, -6.111919403076172, -24.572631174658206, -1, -1, -1, -1
3, -120.97069454193115, -4.652719020843506, -32.51710095527484, -1, -1, -1, -1
4, -136.34711265563965, -3.895631790161133, -29.889520833861017, -1, -1, -1, -1
5, -48.422508239746094, -4.402046203613281, -22.093895518568598, -1, -1, -1, -1
6, -37.87827491760254, -3.787827491760254, -18.198608608239358, -1, -1, -1, -1
7, -35.36282300949097, -3.5362823009490967, -16.990060308504148, -1, -1, -1, -1
8, -25.469767570495605, -4.244961261749268, -15.683097192912129, -1, -1, -1, -1
9, -30.01399278640747, -3.001399278640747, -14.420216038838573, -1, -1, -1, -1
10, -48.024715185165405, -3.694208860397339, -19.941957857461233, -1, -1, -1, -1
11, -34.493491888046265, -3.1357719898223877, -15.738457869052422, -1, -1, -1, -1
12, -64.88688468933105, -5.407240390777588, -28.20452478708313, -1, -1, -1, -1
13, -150.9588804244995, -4.574511528015137, -34.478851368506014, -1, -1, -1, -1
14, -59.233558654785156, -3.7020974159240723, -21.74269579581025, -1, -1, -1, -1
15, -57.538665533065796, -3.8359110355377197, -21.961236509417983, -1, -1, -1, -1
16, -61.98903560638428, -6.198903560638428, -29.78261812230924, -1, -1, -1, -1
17, -35.30185317993164, -4.412731647491455, -19.0179553243419, -1, -1, -1, -1
18, -63.30809545516968, -2.434926748275757, -17.017309349152935, -1, -1, -1, -1
19, -94.08712983131409, -3.7634851932525635, -25.96296075800327, -1, -1, -1, -1
20, -64.50594663619995, -4.30039644241333, -24.620493666600353, -1, -1, -1, -1
21, -53.701416015625, -3.8358154296875, -21.355210517113065, -1, -1, -1, -1
22, -33.70597171783447, -4.815138816833496, -19.358997132926522, -1, -1, -1, -1
23, -36.19949913024902, -6.033249855041504, -22.28996639341481, -1, -1, -1, -1
24, -34.630794525146484, -4.3288493156433105, -18.65643992593862, -1, -1, -1, -1
25, -26.58301329612732, -3.7975733280181885, -15.26793182206288, -1, -1, -1, -1
26, -33.436949253082275, -3.3436949253082275, -16.064774698269716, -1, -1, -1, -1
27, -32.628456115722656, -5.438076019287109, -20.091084345438702, -1, -1, -1, -1
28, -56.777180671691895, -3.154287815093994, -19.378160778827542, -1, -1, -1, -1
29, -80.40079879760742, -3.3500332832336426, -22.796226612736174, -1, -1, -1, -1
30, -25.850177764892578, -2.872241973876953, -13.124480009985497, -1, -1, -1, -1
31, -26.443310737609863, -2.938145637512207, -13.425621530732158, -1, -1, -1, -1
32, -56.43604516983032, -3.7624030113220215, -21.540390694646714, -1, -1, -1, -1
33, -36.82137060165405, -3.3473973274230957, -16.800606670260827, -1, -1, -1, -1
34, -59.55121994018555, -5.955121994018555, -28.611370137423634, -1, -1, -1, -1
35, -57.11860370635986, -4.393738746643066, -23.718137288216678, -1, -1, -1, -1
36, -31.510507583618164, -3.9388134479522705, -16.975466483817815, -1, -1, -1, -1
37, -72.14974880218506, -4.00831937789917, -24.62484779801412, -1, -1, -1, -1
38, -28.02150249481201, -5.604300498962402, -18.621403830301062, -1, -1, -1, -1
39, -25.52629566192627, -4.254382610321045, -15.717904560100822, -1, -1, -1, -1
40, -50.13025379180908, -4.557295799255371, -22.873094142744986, -1, -1, -1, -1
41, -43.852829694747925, -3.3732945919036865, -18.209608913479194, -1, -1, -1, -1
42, -30.909478425979614, -3.4343864917755127, -15.693154430519762, -1, -1, -1, -1
43, -82.03961420059204, -4.317874431610107, -27.062979983609367, -1, -1, -1, -1
44, -132.32792615890503, -5.293117046356201, -36.51535295221813, -1, -1, -1, -1
45, -111.85636520385742, -4.302167892456055, -30.067155798325793, -1, -1, -1, -1
46, -37.097074031829834, -5.299582004547119, -21.30667395778308, -1, -1, -1, -1
47, -88.31542038917542, -3.2709414958953857, -23.14395404012559, -1, -1, -1, -1
48, -47.094966888427734, -2.9434354305267334, -17.287017052893535, -1, -1, -1, -1
49, -30.987133026123047, -3.873391628265381, -16.693512052088497, -1, -1, -1, -1
50, -30.87215280532837, -3.430239200592041, -15.674203715110645, -1, -1, -1, -1
51, -39.93249487876892, -3.071730375289917, -16.581714788840213, -1, -1, -1, -1
52, -58.321731090545654, -3.888115406036377, -22.260115319881734, -1, -1, -1, -1
53, -73.36331796646118, -4.315489292144775, -25.94548661217014, -1, -1, -1, -1
54, -71.27638101577759, -3.239835500717163, -21.398120542818845, -1, -1, -1, -1
55, -91.60007357597351, -2.348719835281372, -18.606071332049915, -1, -1, -1, -1
56, -30.260535717010498, -4.322933673858643, -17.380113799729493, -1, -1, -1, -1
57, -73.48238825798035, -2.939295530319214, -20.277166134908953, -1, -1, -1, -1
58, -34.027352809906006, -3.093395709991455, -15.525771073924794, -1, -1, -1, -1
59, -29.523690462112427, -3.280410051345825, -14.989571399282182, -1, -1, -1, -1
60, -159.02743291854858, -4.8190131187438965, -36.321700370956336, -1, -1, -1, -1
61, -72.99234938621521, -3.1735804080963135, -21.284914874852333, -1, -1, -1, -1
62, -32.61418318748474, -3.623798131942749, -16.558655773248887, -1, -1, -1, -1
63, -75.50528192520142, -3.2828383445739746, -22.017697907983052, -1, -1, -1, -1
64, -40.47220468521118, -2.89087176322937, -16.094407098928254, -1, -1, -1, -1
65, -74.49438858032227, -3.920757293701172, -24.573983759981296, -1, -1, -1, -1
66, -34.30316162109375, -4.287895202636719, -18.47993621945328, -1, -1, -1, -1
67, -19.623989582061768, -3.270664930343628, -12.08353924221465, -1, -1, -1, -1
68, -29.265345811843872, -2.6604859828948975, -13.352994633824611, -1, -1, -1, -1
69, -38.157445430755615, -5.451063632965088, -21.915697398599054, -1, -1, -1, -1
70, -24.84049677848816, -3.54864239692688, -14.267118893379248, -1, -1, -1, -1
71, -16.806116104125977, -4.201529026031494, -12.15050566559711, -1, -1, -1, -1
72, -49.59254455566406, -3.099534034729004, -18.203795863392067, -1, -1, -1, -1
73, -69.53543090820312, -4.345964431762695, -25.524175072427543, -1, -1, -1, -1
74, -112.80459785461426, -4.028735637664795, -28.842748962198844, -1, -1, -1, -1
75, -101.23928642272949, -3.6156888008117676, -25.88564100167562, -1, -1, -1, -1
76, -36.36893033981323, -3.6368930339813232, -17.47344434756731, -1, -1, -1, -1
77, -64.00472259521484, -5.818611145019531, -29.203643204771303, -1, -1, -1, -1
78, -64.67092895507812, -4.041933059692383, -23.738576020691738, -1, -1, -1, -1
79, -47.383949279785156, -2.9614968299865723, -17.393093006598246, -1, -1, -1, -1
80, -47.18912601470947, -3.932427167892456, -20.511801124912104, -1, -1, -1, -1
81, -21.34819507598877, -3.558032512664795, -13.14522471959351, -1, -1, -1, -1
82, -124.69735336303711, -2.968984603881836, -24.027022211340736, -1, -1, -1, -1
83, -22.44808554649353, -3.20686936378479, -12.893039470044918, -1, -1, -1, -1
84, -38.3173713684082, -4.789671421051025, -20.642487325420795, -1, -1, -1, -1
85, -49.86711764335632, -2.9333598613739014, -17.635879470373755, -1, -1, -1, -1
86, -39.39360809326172, -4.377067565917969, -20.000660213771834, -1, -1, -1, -1
87, -51.035704135894775, -3.6454074382781982, -20.29514836990554, -1, -1, -1, -1
88, -93.53642463684082, -3.897351026535034, -26.520601342955747, -1, -1, -1, -1
89, -53.21918964385986, -5.321918964385986, -25.56914761517265, -1, -1, -1, -1
90, -130.75502014160156, -3.6320838928222656, -28.10297434153667, -1, -1, -1, -1
91, -92.46397733688354, -6.164265155792236, -35.291455859883015, -1, -1, -1, -1
92, -68.05842590332031, -5.671535491943359, -29.58310557750785, -1, -1, -1, -1
93, -57.39121437072754, -2.869560718536377, -18.323752102339657, -1, -1, -1, -1
94, -22.721733331680298, -3.245961904525757, -13.050208850391229, -1, -1, -1, -1
95, -75.94752788543701, -2.5315842628479004, -18.525938023852266, -1, -1, -1, -1
96, -114.39251708984375, -3.574766159057617, -26.690532433529636, -1, -1, -1, -1
97, -61.66712236404419, -3.4259512424468994, -21.047107267407583, -1, -1, -1, -1
98, -34.38669204711914, -6.877338409423828, -22.85132566021968, -1, -1, -1, -1
99, -22.465262174606323, -3.2093231678009033, -12.902904852273698, -1, -1, -1, -1
100, -25.007094383239746, -3.572442054748535, -14.362804090641545, -1, -1, -1, -1
101, -92.31044912338257, -4.858444690704346, -30.451091966325517, -1, -1, -1, -1
102, -108.65458011627197, -4.179022312164307, -29.20651124863263, -1, -1, -1, -1
103, -61.726258277893066, -4.748173713684082, -25.631436574489943, -1, -1, -1, -1
104, -36.88535451889038, -3.688535451889038, -17.721560227482655, -1, -1, -1, -1
105, -80.91158866882324, -3.2364635467529297, -22.32722376846491, -1, -1, -1, -1
106, -45.0970184803009, -2.3735272884368896, -14.876468159257112, -1, -1, -1, -1
107, -45.136101722717285, -4.1032819747924805, -20.59439611512427, -1, -1, -1, -1
108, -47.48616409301758, -2.9678852558135986, -17.430612710637817, -1, -1, -1, -1
