sent_id, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
0, -69.3015775680542, -3.0131120681762695, -20.208668328020444, -1, -1, -1, -1
1, -100.99900937080383, -3.2580325603485107, -24.087743271980038, -1, -1, -1, -1
2, -48.74923324584961, -6.964176177978516, -27.999082018437107, -1, -1, -1, -1
3, -123.66082382202148, -4.756185531616211, -33.240211669937366, -1, -1, -1, -1
4, -150.07469654083252, -4.287848472595215, -32.898832116978056, -1, -1, -1, -1
5, -49.42676639556885, -4.493342399597168, -22.552111657612095, -1, -1, -1, -1
6, -40.906362533569336, -4.090636253356934, -19.65345261774908, -1, -1, -1, -1
7, -32.480151653289795, -3.2480151653289795, -15.6050815080755, -1, -1, -1, -1
8, -29.3426570892334, -4.890442848205566, -18.06784226652387, -1, -1, -1, -1
9, -37.33614683151245, -3.733614683151245, -17.9381432920192, -1, -1, -1, -1
10, -47.936805725097656, -3.6874465942382812, -19.90545401269747, -1, -1, -1, -1
11, -38.96529722213745, -3.542299747467041, -17.778823050914106, -1, -1, -1, -1
12, -63.80144691467285, -5.316787242889404, -27.732715163817037, -1, -1, -1, -1
13, -145.53960943222046, -4.4102911949157715, -33.241095507154775, -1, -1, -1, -1
14, -60.6024169921875, -3.7876510620117188, -22.245158776148056, -1, -1, -1, -1
15, -53.33975672721863, -3.555983781814575, -20.35860585206123, -1, -1, -1, -1
16, -62.23919868469238, -6.223919868469238, -29.90280891664359, -1, -1, -1, -1
17, -42.472633361816406, -5.309079170227051, -22.88102666070127, -1, -1, -1, -1
18, -75.90558338165283, -2.919445514678955, -20.40353266744859, -1, -1, -1, -1
19, -95.3924834728241, -3.815699338912964, -26.32316778558082, -1, -1, -1, -1
20, -57.007795572280884, -3.8005197048187256, -21.75861518241061, -1, -1, -1, -1
21, -53.55067157745361, -3.8250479698181152, -21.295264626477756, -1, -1, -1, -1
22, -36.466004848480225, -5.2094292640686035, -20.944219891381568, -1, -1, -1, -1
23, -45.35073280334473, -7.558455467224121, -27.924870078066597, -1, -1, -1, -1
24, -37.143672943115234, -4.642959117889404, -20.010187822539134, -1, -1, -1, -1
25, -29.78552484512329, -4.255074977874756, -17.10729169615822, -1, -1, -1, -1
26, -41.27737998962402, -4.127737998962402, -19.831707870509444, -1, -1, -1, -1
27, -38.5310583114624, -6.4218430519104, -23.725631997695963, -1, -1, -1, -1
28, -65.76199722290039, -3.653444290161133, -22.444695919139587, -1, -1, -1, -1
29, -77.72519874572754, -3.2385499477386475, -22.03760746939605, -1, -1, -1, -1
30, -30.34857702255249, -3.3720641136169434, -15.408377307367832, -1, -1, -1, -1
31, -29.039011001586914, -3.2265567779541016, -14.7434931730985, -1, -1, -1, -1
32, -61.1421275138855, -4.076141834259033, -23.33659827841834, -1, -1, -1, -1
33, -39.312721490859985, -3.5738837718963623, -17.93734345336344, -1, -1, -1, -1
34, -56.83906555175781, -5.683906555175781, -27.308316175555426, -1, -1, -1, -1
35, -63.33626317977905, -4.872020244598389, -26.299980880893948, -1, -1, -1, -1
36, -33.99374008178711, -4.249217510223389, -18.313243412111706, -1, -1, -1, -1
37, -83.78512859344482, -4.65472936630249, -28.596025261395443, -1, -1, -1, -1
38, -29.076437950134277, -5.8152875900268555, -19.322450433069616, -1, -1, -1, -1
39, -36.09419059753418, -6.015698432922363, -22.225122301326472, -1, -1, -1, -1
40, -50.73811054229736, -4.612555503845215, -23.150442921727095, -1, -1, -1, -1
41, -49.805933237075806, -3.831225633621216, -20.68159733661672, -1, -1, -1, -1
42, -31.81968069076538, -3.535520076751709, -16.155276259540535, -1, -1, -1, -1
43, -86.1384334564209, -4.533601760864258, -28.415086091832976, -1, -1, -1, -1
44, -132.78549909591675, -5.31141996383667, -36.64161834291353, -1, -1, -1, -1
45, -118.91318607330322, -4.573584079742432, -31.964039646963375, -1, -1, -1, -1
46, -38.13943433761597, -5.448490619659424, -21.905352742068448, -1, -1, -1, -1
47, -82.31182551383972, -3.048586130142212, -21.57065094924959, -1, -1, -1, -1
48, -50.07198715209961, -3.1294991970062256, -18.379783508953007, -1, -1, -1, -1
49, -32.17536163330078, -4.021920204162598, -17.333639312581933, -1, -1, -1, -1
50, -33.42619729042053, -3.714021921157837, -16.970926162982177, -1, -1, -1, -1
51, -40.44695568084717, -3.11130428314209, -16.795341368296306, -1, -1, -1, -1
52, -58.98528814315796, -3.9323525428771973, -22.51338037625564, -1, -1, -1, -1
53, -73.02031898498535, -4.295312881469727, -25.824182454608216, -1, -1, -1, -1
